provincia,total_homicidios,pct_arma_fuego,pct_hombres,edad_promedio,cantones_afectados,homicidios_ultimo_mes
AZUAY,22,59.09,86.36,34.41,3,8
BOLÍVAR,7,85.71,71.43,28.14,3,3
CARCHI,8,37.5,62.5,38.0,3,4
CAÑAR,42,71.43,80.95,30.57,3,3
CHIMBORAZO,4,50.0,75.0,31.75,2,1
COTOPAXI,17,29.41,88.24,34.88,6,4
EL ORO,432,85.65,90.28,32.51,10,73
ESMERALDAS,129,85.27,89.15,33.23,7,27
GUAYAS,1521,91.19,92.64,30.1,25,297
IMBABURA,13,53.85,76.92,33.77,2,1
LOJA,23,43.48,86.96,33.96,7,3
LOS RÍOS,409,91.69,90.46,33.15,13,72
MANABÍ,471,92.57,89.81,32.95,20,123
MORONA SANTIAGO,10,70.0,100.0,35.4,5,3
NAPO,12,66.67,91.67,27.75,4,2
ORELLANA,41,92.68,92.68,28.71,3,12
PASTAZA,10,90.0,90.0,23.3,2,1
PICHINCHA,121,59.5,88.43,33.11,6,20
SANTA ELENA,81,93.83,93.83,32.0,3,20
STO DGO DE LOS TSÁCHILAS,31,80.65,90.32,32.16,2,10
SUCUMBÍOS,55,87.27,87.27,34.84,3,6
TUNGURAHUA,22,86.36,95.45,31.38,4,2
ZAMORA CHINCHIPE,4,100.0,75.0,31.5,3,1
